practical	old_sha	new_sha	subject
6164	d3b1b898221303a468a89be609009f1160047b3d	71cc52033acec4ecf76efa048ac7cc4980b8df94	(Fixed Base AdvCiv bug) UWAI random team-member selection mixed 0-based random indexes with iterator positions, biasing the first member and excluding the last (KI#207); add filtered commit-diff archaeology mirror
6165	6b2c7382955cfce3d7bbf335dd2a254d1e48972f	505a3834090777e422fab748de2293db2ddda81e	(Fixed Base AdvCiv bug) Worst-enemy trade-memory optimization could forget a required recalculation when later teams overwrote its flag (KI#208)
6166	eaf4c8ac19989a3465d21b8c0e3a756b718db497	61c686a4c63cbd4695b8293596245a5d3076e07f	(Fixed Base AdvCiv bug) Player reassignment saved random-leader status from the random-civilization flag, corrupting independent setup state (KI#209)
6167	0e7098a6a6cec07557def9b7d04123286bbdda3f	fcccb4f5e7958e4480c4c615272fdd5458ec33ed	(Fixed Base AdvCiv bug) Vote-selection iterator refactor could pair a voting team with itself, creating bogus self first-contact state (KI#210)
6168	cf1272d7fed57ee154d84305c2d1bb8937ae4e58	b4221a1bc7b4bde8b70cf0b5c36da70d26d8ed4b	(Fixed inherited K-Mod/Base AdvCiv bug) Terrain attack bonuses were reversed in AI attacker-strength estimates against unknown defenders (KI#211)
6169	9968f036011c92f2efe25453562dfce7a80d28bf	56162f50f56599721700ede51900756e6354e8f7	(Fixed minor inherited K-Mod/Base AdvCiv bug) AI Barbarian attacker CombatDetails were written to the defender-barbarian field (KI#212)
6170	79410b2dba3261084e6470d9829a3f5f7f644c7c	642bcd97e014dfb6de88a6e3ffd80c8d846979db	Fix inherited and AdvCiv-SAS AI archaeology findings (KI#213â€“217)
6171	53ee909e9987fe076dd0c39d4d9a43ea3f4b2c60	83fa938c58323b22e06c078096ed65d3de369f9b	Fix inherited Base AdvCiv 1.12/1.14 PerfectMongoose and AdvCiv-SAS Military Summary archaeology findings (KI#218â€“220)
6172	c36032deb5f5304de4eaecdd5ef5c9b6ad457381	a659595e27edee563cb05351930ee6b117807257	fix two AdvCiv-SAS battle-history capture attribution bugs (KI#221 and KI#222)
6173	962e912da534375e395e8455063c35a6e65dbef4	b13a84fca3f2ceebecd7d7ea86428f6b1bffe912	fix KI#214 and advance AdvCiv-SAS source archaeology (AdvCiv-SAS irrigation-chain constrained routing)
6174	c8903d21a66e9e152dd177307ab89496e51c10ef	ee06f100537f2c109209f75680051286e096e9a4	Fix 3 AdvCiv-SAS archaeology UI regressions
6175	fa4a1468df17b864240e51089777f0cafc0aaefc	bc5728f1ca75f8bf978c8165d401aaef21fdbea8	Fix KI#224 World Advisor vassal map-information leak
6176	b8a7805fe271571f27abbee904a8f1f31162b0d6	2fdee346e2d245da067b12f3c89ac3581f73f7a9	Fix KI#225 AdvCiv-SAS Event Trigger era grouping and advance archaeology
6177	c99ab79e5b33b2cf72d67a7166dca9569bffdcb3	820f1a2e1ad634db894da29c93231ee2d806cc7f	Fix KI#228 AdvCiv-SAS aligned scoreboard scrolling and advance archaeology
6178	0a96cdaa7520a1dc29cff42b3e124a7d581e4364	895c46242d97922f1cdb8dfc202f025031b1433e	Fix 2 AdvCiv-SAS archaeology UI regressions and advance archaeology (Hall of Fame and Sevopedia Leader item-width)
6179	31becb027ab013df99546d43d0db5cc94df8d175	f9dfa9ad2d5510ffcb8f6f05975dad900b5f76cc	Fix 3 AdvCiv-SAS advisor archaeology regressions and advance archaeology (KI#231-KI#233)
6180	fbd121d7fc5636bdf8413e05db7193d63aade5c4	a790e5648c526ebca479e032a55f0b2b917cef15	Fix KI#234 AdvCiv-SAS stale Espionage target state
6181	26b2ac78844a4b8a6faecb841535ffb8ea9b48f8	2d23bedcccee859b059e02754687ba7ad1a7316d	Fix KI#236 inherited Executive requirement in Sevopedia Unit and record archaeology
6182	f2ecb1334c434b3ca295720e328500332ddc1ad1	0d10b3650e9d5cd07a4cbb29c19870780506531d	Fix KI#235 AdvCiv-SAS Bomber hover and advance archaeology
6183	df3da878022205a0dad9c0786146b27870a0e678	7cb3b48534037b09583df40f3a6d9e642c5558b9	Fix KI#237 and KI#237.2 inherited Great Person text fitting Base AdvCiv bug and K-Mod/BUG-era bug, and advance archaeology
6184	49732aa36963d0a61c8dece3ef437afba1370785	6fc4f59e68ae614ef7aa25461f7d27d60f089e4e	Fix KI#238, KI#242 and KI#245 AdvCiv-SAS map capacity bugs and advance archaeology
6185	9fb1f179a4c7a3e5be4d06c35ff1f159697f83ea	d2d788086d3d2698b7d4258976a626b07c7238fb	Fix KI#239 and KI#240 AdvCiv-SAS AI bonus-trade regressions
6186	256402817cba360bf88618eba010f736a700fa17	cb59951210104f54164987e729175f8c625b16cc	Fix and beautify KI#241 AdvCiv-SAS Treaties rows and advance archaeology
6187	e298fd84b883283604597c32ed008db0af2c4b90	4ff2a82860ab7053dde70f1917ec9e1b629c902f	Fix KI#254 and KI#255 inherited Peirce mapscript geometry issues and advance archaeology
6188	b5704a24760c5a28dc857904491b307984f84814	8d8cba5f65e68b8367bbe283af39c922a37fa1fe	fix inherited KI#262 KI#263 KI#266 map-script bugs and expand archaeology tooling (with inherited map-scripts)
6189	0bf9dc325c8ddf0782c9f2c66f87f7caa64fb5e4	8e31e7d01597f1a06cf2e87efcb3b92430e05050	fix KI#264 and KI#265 AdvCiv-SAS 48-slot map compatibility and advance archaeology
6190	d88d352eda7c67843f49fc1ff2b76110366d9445	436c770dac1b1dbca5a16db038e49b2378b9c0ab	Fix BTG Lagoon/Cross map bugs and advance archaeology (KI#267-KI#270)
6191	cbe0dcc89874e0c747e955697054df52ecee06c7	3c8606ef801be52e4d9ee4fe69e03e15b662e408	Fix BTG Grid/Cross region generation and starts (KI#247, KI#271-KI#274)
6192	56468e94ffdc5fa497ba28b3f163ae0711f1dc4e	087f12a01ea8988a23ed442081523c0bb155f281	Fix inherited Random Script Map bugs and label (KI#275-KI#277, KI#275.2)
6193	23b18a0b9beafd3692cb027d9e89b80d1087e3cb	0b66f4ec59449819e8ff274cc1aee75c2fb15628	Fix archaeology-found map-script world-size bugs (KI#278-KI#282.3)
6194	7124c4091e36e6fc2fc9e881bb3b47b09f39a89b	e8f3ec1f381fc80a1380bd7a79db897115aa7965	Fix CyGlobalContext() map-generator and geometry bugs from archaeology (KI#283-KI#284.2, KI#287)
6195	17fd484a2477b82f55adc629376a1050755e6d31	1acc103ee121a7e237e609d2f067cad3d5a7ea96	Fix Team Battleground geometry and starts through archaeology (KI#267, KI#288-KI#291)
6196	e0531d2b1881ef71b346a7c35662bf0f8bfce9a5	6556c1c02bc873acf15325da8357e8c6eb7cec9f	Fix inherited Hub, Ring, and Wheel buffer overlap through archaeology (KI#292)
6197	c5ddba4b9959d99974e6968cefc4c42708752c50	8ec727e9856b8b196db9d422eabf8b1c3d3e371d	Fix 8 inherited and AdvCiv-SAS map-script bugs through archaeology and complete AdvCiv-SAS runtime-source archaeology through practical 4345
6198	acf8ca816e30af6037f6d5a15900197b72990957	d9654a2754ab67cb04e72f791ec502a2bb1fc07a	Add pre release doc info
6199	b9f1242dbea9c1b4c109e9be9151f4f43c4f1445	313da85cd5e0949a90e61953f0287ebffe77fcf6	Update docs (pre-release)
6200	0f2004eafc0455342f0e9d45240a83cc37fa24c2	9887bed3ce4addb2a03d5c21deba3f63a2b32852	Update 18 civs DLL
6201	35f47117edc08141cca69f5ad72b89eae313bb92	166f24daf1428d9a15f09f57de01600ed24e274c	Update docs (post-release)
6202	9bdcf754cc29a10155c8a055f5c35ce70f8fd1b6	841bfb4c3ae49f6d262e7881e5df5d7690f8578c	Reject KI#324 (was not a bug nor an issue after review), improve KI#323 first-strike display and fix KI#324.2 collateral eligibility
6203	1c70b519b895777539f7349b90f5ea79a6793764	977152c163311d024eb1b7e66bf3544fde459c35	Fix KI#315-KI#317 AdvCiv-SAS AI civic valuation regressions
6204	22dbe98a19a30f1c6dcb603f4aeb6abce4468ee1	6231a08737ad2e383e35e074f769cdce34c24a80	Fix minor inherited K-Mod OOS checksum issue (KI#326)
6205	84a374d186d52f5bfcce473fb78d982d8cee12b7	702e4d7f29c587ef9a4b6fa53520cdeca910496a	Fix KI#318 and KI#320 AdvCiv-SAS CvCityAI regressions
