comment block with all or many attributes/fields infos is taken from Doto mod in C:\Program Files (x86)\Steam\steamapps\common\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Mods\Doto\Assets\modules_old\ExtraBonus\ExtraBonus_CIV4BuildingInfos.xml, i don't know if all applies to us but good to have this info so adding it to our file, and thanks too for it, serves as additional info to confirm our hypothesis/observation/external civ4 doc/wiki read website that areacleanpower (all cities power) is indeed clean not 0 unhealthy



BuildingInfos	 This begins and ends the file. Everything must go in between these two, or it will not work.
BuildingInfo	 Encloses the entry for each building.
Advisor	Defines the type of advisor that would recommend this building in the in-game menus.
ArtDefineTag	Specifies the tag in the Civ4ArtDefines_Building file that provides graphic data for this building.
Bonus	Bonus type that speeds production.
BuildingClass	The class of the building, as defined in the Civ4BuildingClassInfos file.
CivicOption	Free civics allowed with building (for example, the Pyramids enable all Government civics).
Civilopedia	Refers to a tag in the Civ4GameText_Civilopedia_BuildingsProjects file which stores the Civilopedia description for the Building.
ConstructSound	Sound used when building is completed. See the AudioDefines, Audio2DScripts, and Audio3DScripts files.
Description	Refers to a tag in the Civ4GameTextInfos_Objects file that stores the in-game name of the Building.
FreeBonus	Provides the city with iFreeBonus (see below) number of a certain resource, like Hit Musicals (BONUS_DRAMA), Hit Songs (BONUS_MUSIC), or Hit Movies (BONUS_MOVIES).
FreeBuilding	Provides the listed building free to every city. For example, the Three Gorges Dam gives a Hydro Station to each city.
FreePromotion	Allows building to give listed promotion to all units built in that city, like Red Cross and Medic I.
FreeStartEra	Building is free if you start in this Era or later.
GlobalReligionCommerce	Earns gold from every city with this religion.
GreatPeopleUnitClass	Type of Great Person Points the building generates.
HolyCity	If set, the building can only be constructed in the Holy City of the religion specified.
MaxStartEra	Latest Era the building can be constructed.
MovieDefineTag	Specifies the tag in the Civ4ArtDefines_Movie file that will play when this building is constructed.
NoBonus	The building blocks the resource from being accessed in the city. (Ex: National Park blocks coal).
ObsoleteTech	Tech that makes the building obsolete (like Economics for Castles).
PowerBonus	Any building with this bonus supplies power to the given city (i.e. BONUS_COAL for the Coal Plant).
PrereqBonuses	Bonus type required for production.
PrereqReligion	Defines Religion needed for production.
ReligionType	If set, the Building can only be constructed if the specified Religion type is present in a city within the Civilization (though not necessarily in the city where it is being constructed).
SpecialBuildingType	Determines whether or not the building is one the special types listed in the Civ4SpecialBuildingInfos file, like a monastery or cathedral.
StateReligion	If set, the Building can only be constructed while the specified Religion type is the Civilization's State Religion.
Strategy	Refers to a tag in the Civ4GameText_Strategy file that stores the strategic or usage info on the Building, displayed in mouseover pop-ups.
Type	The type of Building (see the Civ4ArtDefines_Building file).
VictoryPrereq	Victory type required for construction of the building (i.e. the Diplomacy victory condition must be enabled for the United Nations to be available).
DiploVoteType	If one is set, the building will allow diplomatic voting of the votes allowed by that vote type; used by the United Nations and the Apostolic Palace.
iAirlift	The distance from city that units can be airlifted.
iAirModifier	Damage change from air units.
iAIWeight	Importance of building to the AI.
iAllCityDefense	% change in defense in all cities (e.g. Chichen Itza increases defenses by 25% ).
iAnarchyModifier	% change in anarchy length.
iAreaHappiness	Change in happiness in all cities on this continent.
iAreaHealth	Change in healthiness in all cities on this continent.
iAreaFreeSpecialist	Free specialists allowed in all cities on this continent (e.g. Statue of Liberty grants +1 specialist per city).
iAsset	Point value of building for victory score.
iBombardDefense	Percent reduction in damage to defense a city can get from bombardment from non-gunpowder units
iCitiesPrereq	Requisite number of cities for this building.
iCoastalTradeRoutes	Increases the number of trade routes in all coastal cities by this amount.
iConquestProb	Percentage chance building will survive if city is captured.
iCost	Building cost in hammers.
iDefense	% change in this city's defense bonus.
iExperience	Experience bonus to units built in this city.
iFoodKept	% of food kept after city grows.
iFreeSpecialist	Free specialists allowed in this city.
iFreeTechs	Number of free techs provided when built.
iGlobalExperience	Experience bonus to units built in all cities (e.g. the Pentagon gives +2 XP to all units).
iGlobalFreeSpecialist	Free specialists allowed in all cities.
iGlobalGreatPeopleRateModifier	% increase of Great Person Points generation rate for civilization.
iGlobalHappiness	Change in happiness in all cities.
iGlobalHealth	Change in healthiness in all cities.
iGlobalHurryModifier	% change in hurry cost in all cities.
iGlobalPopulationChange	Change in population globally.
iGlobalSpaceProductionModifier	% change in spaceship parts production in all cities.
iGlobalTradeRoutes	Change in number of trade routes in all cities.
iGlobalWarWearinessModifier	% change in war weariness in all cities.
iGreatPeopleRateChange	Integer change in Great Person Points generation (i.e. used for wonders, like the Pyramid's +2 Great Engineer points per turn).
iGreatPeopleRateModifier	% increase of Great Person Points generation rate in this city.
iHappiness	Change in happiness in this city.
iHealRateChange	% change in healing rates.
iHealth	Change in healthiness in this city.
iHurryCostModifier	Building hurry cost modifier (e.g. a value of 100 makes the building, usually a wonder, twice as expensive to rush via gold or population).
iLevelPrereq	Requisite unit level (e.g. a level 6 unit is required for West Point).
iMaintenanceModifier	% change in maintenance cost.
iMaxLatitude	Maximum distance from equator.
iMilitaryProductionModifier	% change in military units' production.
iMinAreaSize	Size of adjacent body of water for sea buildings (usually 10).
iMinLatitude	Minimum distance from equator.
iNukeModifier	Damage change from nukes.
iNukeExplosionRand	Chance that a nuclear power plant will randomly blow up, causing a meltdown (default 1 in 1000).
iNumFreeBonuses	Connected to the FreeBonus tag, this determines how many of the specified resource to provide. -1 gives 5 of the above bonuses. Any number >= 0 is itself, i.e. 10 here with a BONUS_DRAMA in the FreeBonus tag means 10 Hit Musicals from your city. Anything below -1 shows up as that negative number.
iPower	Value used by AI to calculate a player's relative strength (Forge, Heroic Epic, etc. influence this).
iSpaceProductionModifier	% change in spaceship parts' production.
iStateReligionHappiness	Change in happiness with state religion.
iTeamsPrereq	Instances among a team in multiplayer (e.g. the Apostolic Palace and United Nations have the value 3, while most buildings have a value of 0).
iTradeRouteModifier	% change in trade routes' yield in this city.
iTradeRoutes	Change in number of trade routes in this city.
iWarWearinessModifier	% change in war weariness.
iWorkerSpeedModifier	% change in worker speed.
bAllowsNukes	Allows nukes for all players.
bAreaCleanPower	Provides clean power to all cities on same continent (e.g. Three Gorges Dam).
bBorderObstacle	If Barbarians can no longer cross the players borders.
bBuildingOnlyHealthy	Removes unhealthiness caused by buildings (e.g. used by Recycling Center).
bCapital	Sets the Capital City. There can only be one per civilization.
bCenterInCity	Appears to locate the building at the center of the city. Buildings with a value of 1 for this tag include Aqueduct, Castle, and Monument.
bDiploVote	Allows diplomatic votes (e.g. the United Nations); Vanilla and Warlords version of DiploVoteType
bDirtyPower	Power provided is polluting.
bForceTeamVoteEligible	Forces team members to vote with you.
bGoldenAge	Starts a golden age (e.g. used by Taj Mahal).
bGovernmentCenter	Makes the city a center of government (multiple allowed per civilization). Used by the Versailles wonder.
bMapCentering	On completion, centers the map.
bNeverCapture	Indicates if the building is destroyed when the city is captured.
bNoUnhappiness	Removes all unhappiness from the city. Used by the Globe Theatre.
bNoUnhealthyPopulation	Removes all unhealthiness from population. Used by the National Park.
bNukeImmune	Makes the building immune to nuking.
bPower	Provides power.
bPrereqReligion	Indicates if a Religion must be present.
bRiver	Requires river.
bTeamShare	Allows team members to build together.
bWater	Requires water.
BonusHappinessChanges	This defines the changes in happiness provided by the building if you have the specified resources. The tag BonusHappinessChange, bracketed by BonusHappinessChanges, contains each individual resource and its effect. BonusType defines the type of resource, and iHappinessChange defines the amount of happiness increase.
BonusHealthChanges	This defines the changes in healthiness provided by the building if you have the specified resources. The tag BonusHealthChange, bracketed by BonusHealthChanges, contains each individual resource and its effect. BonusType defines the type of resource, and iHealthChange defines the amount of health increase.
BonusProductionModifiers	This controls the production bonuses for the building as a result of specified resources. BonusProductionModifier contains each individual resources and its effect, BonusType defines the type of resource, and iProductionModifier is a percentage value defining the change in production (e.g. Walls have a value for BONUS_TIMBER of 100).
BonusYieldModifiers	This defines the bonuses to resources' yields from a building. BonusYieldModifier declares each resource, BonusType defines the type of resource, YieldModifiers brackets the three yield tags, and iYield controls the percentage change in food, hammer, and commerce production in that city.
BuildingClassNeededs	This tag defines the buildings in the city that are required for the particular city improvement. BuildingClassNeeded defines the individual building classes, BuildingClassType declares the specific type of building, bNeededInCity is a Boolean tag controlling whether the building is needed in this city, and BuildingInfo brackets the entire building group.
BuildingHappinessChanges	Defines which other buildings get happiness when this one is built.
CommerceChangeDoubleTimes	Defines how many turns must pass before a given commerce output is doubled. For example, Versailles starts giving 10 Culture per turn, but after 1000 years, begins giving 20 Culture per turn. The three iCommerce tags refer to beakers, gold, and culture per turn.
CommerceChangeOriginalOwners	Defines the increases in beakers, gold, culture, and espionage per turn that the building provides, using the iCommerce integer tag. Only the player that builds it gets the specified commerce changes.
CommerceChanges	Defines the increases in beakers, gold, culture, and espionage per turn that the building provides, using the iCommerce integer tag.
CommerceFlexibles	Allows players to adjust the commerce rate, just like technologies.
CommerceHappinesses	This determines the percentage change in tax/research/culture sliders' rates, respectively, that produce happy faces, using the iCommerce tag. This is used for buildings like the Theater and Hippodrome.
CommerceModifiers	Percentage change to the commerce production for the entire city (e.g. 25 is 25% increase), using the iCommerce tag. The first tag controls beakers per turn, the second gold per turn, the third culture per turn, and the fourth in espionage per turn.
DomainFreeExperiences	This tag defines the experience bonus given to units of a certain type. The DomainFreeExperience tag contains each unit type, DomainType declares whether the unit is a land, sea, or air unit, and iExperience is an integer tag defining how many XP points are given to that unit type.
