Field,Settler,Chieftain,Warlord,Noble,Prince,Monarch,Emperor,Immortal,Deity
iAIAdvancedStartPercent,67,75,90,100,125,145,175,210,270
iAIAnimalBonus,-25,-25,-25,-25,-25,-25,-25,-25,-25
iAIAttitudeChangePercent,30,30,30,30,40,50,60,70,90
iAIBarbarianBonus,-25,-25,-25,-25,-25,-25,-25,-25,-25
iAICivicUpkeepPercent,100,100,100,100,95,90,85,80,75
iAIConstructPercent,120,115,105,100,95,95,90,80,75
iAICreatePercent,110,105,100,100,95,90,85,80,75
iAIDeclareWarProb,25,50,75,100,100,100,100,100,100
iAIGPThresholdPercent,125,120,110,100,100,95,90,85,80
iAIGrowthPercent,125,120,110,100,100,95,90,85,80
iAIHandicapIncrementTurns,0,0,0,0,100,50,33,25,20
iAIInflationPercent,100,90,80,80,80,80,80,80,80
iAIResearchPercent,90,100,100,100,103,110,115,120,124
iAIStartingDefenseUnits,0,0,0,0,0,1,2,2,3
iAIStartingExploreUnits,0,0,0,0,0,0,0,0,1
iAIStartingUnitMultiplier,0,0,0,0,0,0,0,0,0
iAIStartingWorkerUnits,0,0,0,0,0,0,0,1,1
iAITrainPercent,125,120,110,100,95,95,95,90,85
iAIUnitCostPercent,100,100,100,100,95,90,85,80,75
iAIUnitSupplyPercent,50,50,50,50,50,50,50,50,50
iAIUnitUpgradePercent,50,50,50,50,50,50,50,50,50
iAIWarWearinessPercent,100,90,80,80,80,75,70,60,50
iAIWorkRateModifier,0,0,0,0,5,10,15,20,25
iAIWorldConstructPercent,125,120,110,100,100,95,95,90,85
iAIWorldCreatePercent,125,120,110,100,100,95,95,90,85
iAIWorldTrainPercent,125,120,110,100,100,95,95,90,85
iAdvancedStartPointsMod,100,100,100,100,100,100,100,100,100
iAnimalAttackProb,30,50,60,70,70,70,70,70,70
iAnimalBonus,-60,-45,-30,-25,-20,-15,-10,-5,0
iAttitudeChange,3,2,1,0,0,0,0,0,0
iBarbarianBonus,-40,-30,-20,-10,-5,-5,-5,-5,0
iBarbarianCityAttackBonus,,,,,-20,-20,-20,-15,-10
iBarbarianCityCreationProb,4,5,5,6,6,7,7,8,8
iBarbarianCityCreationTurnsElapsed,60,55,50,45,40,35,30,25,25
iBarbarianCreationTurnsElapsed,48,44,40,36,32,28,24,20,16
iBarbarianDefenders,1,1,1,2,2,3,3,3,4
iBaseGrowthThresholdPercent,80,95,100,100,100,100,110,120,130
iBuildTimePercent,100,100,100,100,100,100,110,115,120
iCivicUpkeepPercent,60,70,80,90,95,100,100,100,100
iColonyMaintenancePercent,60,80,90,100,105,110,115,120,130
iConstructPercent,85,95,100,100,100,100,105,110,115
iCorporationMaintenancePercent,60,80,90,100,105,110,115,120,130
iCreatePercent,70,80,90,100,100,100,100,110,120
iCultureLevelPercent,100,100,100,100,100,106,112,118,129
iDifficulty,0,10,20,30,40,50,60,70,85
iDistanceMaintenancePercent,50,60,70,80,85,90,95,100,100
iForeignCultureStrength,10,15,20,25,29,32,35,38,40
iFreeUnits,20,15,10,7,5,4,3,2,1
iFreeWinsVsBarbs,4,3,2,1,0,0,0,0,0
iGPThresholdPercent,80,95,100,100,100,100,110,120,130
iGold,0,0,0,0,0,0,0,0,0
iHappyBonus,5,5,4,4,4,4,4,4,4
iHealthBonus,3,3,2,2,2,2,2,2,2
iInflationPercent,60,70,80,90,95,100,100,100,100
iMaxColonyMaintenance,200,200,200,200,200,200,200,200,200
iMaxNumCitiesMaintenance,4000,4000,5000,5000,6000,6000,7000,7000,8000
iNoTechTradeModifier,100,85,75,64,56,48,40,32,24
iNumCitiesMaintenancePercent,45,55,65,75,80,85,90,95,100
iResearchPercent,72,85,90,95,108,115,130,140,150
iSeaBarbarianBonus,,,,,,,,,-5
iSeaBarbarianExtraMoves,,,,,,,,,0
iStartingDefenseUnits,0,0,0,0,0,0,0,0,0
iStartingExploreUnits,0,0,0,0,0,0,0,0,0
iStartingLocPercent,10,20,35,49,55,65,75,85,95
iStartingWorkerUnits,0,0,0,0,0,0,0,0,0
iTechTradeKnownModifier,-100,-50,-25,0,0,0,0,0,0
iTrainPercent,80,95,100,100,100,100,110,120,130
iUnitCostPercent,36,44,52,60,68,76,84,92,100
