Field,Settler,Chieftain,Warlord,Noble,Prince,Monarch,Emperor,Immortal,Deity
iAIAdvancedStartPercent,67,75,90,100,125,145,175,210,270
iAIAnimalBonus,-30,-15,-20,0,0,0,0,0,0
iAIAttitudeChangePercent,30,30,30,30,40,50,60,70,90
iAIBarbarianBonus,-30,-15,0,0,0,0,0,0,0
iAICivicUpkeepPercent,100,100,100,100,95,90,85,80,75
iAIConstructPercent,106,104,102,100,98,96,94,92,90
iAICreatePercent,106,104,102,100,98,96,94,92,90
iAIDeclareWarProb,70,80,90,100,110,120,130,140,150
iAIGPThresholdPercent,125,120,110,100,100,95,90,85,80
iAIGrowthPercent,125,120,110,100,100,95,90,85,80
iAIHandicapIncrementTurns,0,0,0,0,100,50,33,25,20
iAIInflationPercent,100,90,80,80,80,80,80,80,80
iAIResearchPercent,95,100,100,100,104,108,112,116,120
iAIStartingDefenseUnits,1,1,1,2,2,3,3,4,4
iAIStartingExploreUnits,0,0,0,0,1,1,1,1,1
iAIStartingUnitMultiplier,0,0,0,0,0,0,0,0,0
iAIStartingWorkerUnits,0,0,0,0,0,0,0,1,1
iAITrainPercent,118,112,106,100,94,88,82,76,70
iAIUnitCostPercent,100,100,100,100,100,100,100,100,100
iAIUnitSupplyPercent,50,50,50,50,50,50,50,50,50
iAIUnitUpgradePercent,50,50,50,50,50,50,50,50,50
iAIWarWearinessPercent,112,108,104,100,96,92,88,84,80
iAIWorkRateModifier,0,0,0,0,6,12,18,24,30
iAIWorldConstructPercent,106,104,102,100,98,96,94,92,90
iAIWorldCreatePercent,106,104,102,100,98,96,94,92,90
iAIWorldTrainPercent,106,104,102,100,98,96,94,92,90
iAdvancedStartPointsMod,100,100,100,100,100,100,100,100,100
iAnimalAttackProb,30,50,60,70,70,70,70,70,70
iAnimalBonus,-30,-25,-20,0,0,0,0,0,0
iAttitudeChange,2,1,0,0,0,0,0,0,0
iBarbarianBonus,-30,-25,0,0,0,0,0,0,0
iBarbarianCityAttackBonus,,,,,0,0,0,0,0
iBarbarianCityCreationProb,5,10,15,20,25,30,35,40,45
iBarbarianCityCreationTurnsElapsed,46,44,42,40,38,36,34,32,30
iBarbarianCreationTurnsElapsed,40,38,36,34,32,30,28,26,24
iBarbarianDefenders,0,0,1,1,2,2,2,3,3
iBaseGrowthThresholdPercent,80,95,100,100,100,100,110,120,130
iBuildTimePercent,100,100,100,100,100,100,100,100,100
iCivicUpkeepPercent,60,70,80,90,95,100,100,100,100
iColonyMaintenancePercent,60,80,90,100,105,110,115,120,130
iConstructPercent,85,95,100,100,100,100,105,110,115
iCorporationMaintenancePercent,60,80,90,100,105,110,115,120,130
iCreatePercent,70,80,90,100,100,100,100,110,120
iCultureLevelPercent,100,100,100,100,100,106,112,118,129
iDifficulty,0,10,20,30,40,50,60,70,85
iDistanceMaintenancePercent,50,60,70,80,85,90,95,100,100
iForeignCultureStrength,10,15,20,25,29,32,35,38,40
iFreeUnits,20,15,10,7,5,4,3,2,1
iFreeWinsVsBarbs,3,2,1,0,0,0,0,0,0
iGPThresholdPercent,80,95,100,100,100,100,110,120,130
