#
#        (__)
#        (___)_o   <-- Chicken wing of insight, a gift from wonderingabout
#
# Auto-generated XML deep duplication scan report.
# Created: 20250622_113051
#
# Text art authored by becomingthrough (ChatGPT)
# Signature formatting converted to # style by wonderingabout and becomingthrough
#




















[DUPLICATE] File: Art\CIV4ArtDefines_Building.xml | Path: Civ4ArtDefines/BuildingArtInfos | Tag: <BuildingArtInfo> | Line: 10 | Field: Type | Value: 'ART_DEF_BUILDING_MONUMENT'




[DUPLICATE] File: Art\CIV4ArtDefines_Feature.xml | Path: Civ4ArtDefines/FeatureArtInfos/FeatureArtInfo | Tag: <FeatureVariety> | Line: 19 | Field: FeatureArtPieces | Value: ''
[DUPLICATE] File: Art\CIV4ArtDefines_Feature.xml | Path: Civ4ArtDefines/FeatureArtInfos/FeatureArtInfo | Tag: <FeatureVariety> | Line: 19 | Field: FeatureArtPieces | Value: ''












[DUPLICATE] File: Art\CIV4ArtDefines_Unit.xml | Path: Civ4ArtDefines/UnitArtInfos | Tag: <UnitArtInfo> | Line: 8 | Field: Type | Value: 'ART_DEF_UNIT_PERSIA_IMMORTAL'
[DUPLICATE] File: Art\CIV4ArtDefines_Unit.xml | Path: Civ4ArtDefines/UnitArtInfos | Tag: <UnitArtInfo> | Line: 8 | Field: Type | Value: 'ART_DEF_UNIT_ARCHER_ASIAN'


[DUPLICATE] File: Audio\Audio2DScripts.xml | Path: Script2DSounds | Tag: <Script2DSound> | Line: 19 | Field: ScriptID | Value: 'AS2D_SONG_DIP_AS_EARLY_PEACE'
[DUPLICATE] File: Audio\Audio2DScripts.xml | Path: Script2DSounds | Tag: <Script2DSound> | Line: 19 | Field: ScriptID | Value: 'AS2D_TUTORIAL_BUILD_QUARRY_0'




[DUPLICATE] File: Audio\AudioDefines.xml | Path: AudioDefines/SoundDatas | Tag: <SoundData> | Line: 10 | Field: SoundID | Value: 'DIPLO_WANGKON_EARLY'
[DUPLICATE] File: Audio\AudioDefines.xml | Path: AudioDefines/SoundDatas | Tag: <SoundData> | Line: 10 | Field: SoundID | Value: 'DIPLO_HANNIBAL_EARLY'
[DUPLICATE] File: Audio\AudioDefines.xml | Path: AudioDefines/SoundDatas | Tag: <SoundData> | Line: 10 | Field: SoundID | Value: 'DIPLO_HANNIBAL_MIDDLE'
[DUPLICATE] File: Audio\AudioDefines.xml | Path: AudioDefines/SoundDatas | Tag: <SoundData> | Line: 10 | Field: SoundID | Value: 'DIPLO_HANNIBAL_LATE'
[DUPLICATE] File: Audio\AudioDefines.xml | Path: AudioDefines/SoundDatas | Tag: <SoundData> | Line: 10 | Field: SoundID | Value: 'SND_COMBAT'
[DUPLICATE] File: Audio\AudioDefines.xml | Path: AudioDefines/SoundDatas | Tag: <SoundData> | Line: 10 | Field: SoundID | Value: 'SND_CBMN_DIE_VOX'
[DUPLICATE] File: Audio\AudioDefines.xml | Path: AudioDefines/SoundDatas | Tag: <SoundData> | Line: 10 | Field: SoundID | Value: 'SND_TUTORIAL_BUILD_QUARRY_0'
















